icd_code;diagnose_name;description
A05.0;Lebensmittelvergiftung durch Staphylokokken;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A05.1;Botulismus;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A05.2;Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii];Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A05.3;Lebensmittelvergiftung durch Vibrio parahaemolyticus;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A05.4;Lebensmittelvergiftung durch Bacillus cereus;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A05.8;Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A05.9;Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet;Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert
A06.-;Amöbiasis;Amöbiasis
A06.0;Akute Amöbenruhr;Amöbiasis
A06.1;Chronische intestinale Amöbiasis;Amöbiasis
A06.2;Nichtdysenterische Kolitis durch Amöben;Amöbiasis
A06.3;Amöbom des Darmes;Amöbiasis
A06.4;Leberabszess durch Amöben;Amöbiasis
A06.5;Lungenabszess durch Amöben;Amöbiasis
A06.6;Hirnabszess durch Amöben;Amöbiasis
A06.7;Amöbiasis der Haut;Amöbiasis
A06.8;Amöbeninfektion an sonstigen Lokalisationen;Amöbiasis
A06.9;Amöbiasis, nicht näher bezeichnet;Amöbiasis
A07.-;Sonstige Darmkrankheiten durch Protozoen;Sonstige Darmkrankheiten durch Protozoen
A07.0;Balantidiose;Sonstige Darmkrankheiten durch Protozoen
A07.1;Giardiasis [Lambliasis];Sonstige Darmkrankheiten durch Protozoen
A07.2;Kryptosporidiose;Sonstige Darmkrankheiten durch Protozoen
A07.3;Isosporose;Sonstige Darmkrankheiten durch Protozoen
A07.8;Sonstige näher bezeichnete Darmkrankheiten durch Protozoen;Sonstige Darmkrankheiten durch Protozoen
A07.9;Darmkrankheit durch Protozoen, nicht näher bezeichnet;Sonstige Darmkrankheiten durch Protozoen
A08.-;Virusbedingte und sonstige näher bezeichnete Darminfektionen;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.0;Enteritis durch Rotaviren;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.1;Akute Gastroenteritis durch Norovirus;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.2;Enteritis durch Adenoviren;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.3;Enteritis durch sonstige Viren;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.4;Virusbedingte Darminfektion, nicht näher bezeichnet;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A08.5;Sonstige näher bezeichnete Darminfektionen;Virusbedingte und sonstige näher bezeichnete Darminfektionen
A09.-;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A09.0;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen Ursprungs;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A09.9;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs;Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiösen und nicht näher bezeichneten Ursprungs
A15.-;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.0;Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.1;Lungentuberkulose, nur durch Kultur gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.2;Lungentuberkulose, histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.3;Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.4;Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.5;Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.6;Tuberkulöse Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.7;Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.8;Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A15.9;Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert;Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert
A16.-;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.0;Lungentuberkulose, weder bakteriologisch, molekularbiologisch noch histologisch gesichert;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.1;Lungentuberkulose, bakteriologische, molekularbiologische und histologische Untersuchung nicht durchgeführt;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.2;Lungentuberkulose ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.3;Tuberkulose der intrathorakalen Lymphknoten ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.4;Tuberkulose des Larynx, der Trachea und der Bronchien ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.5;Tuberkulöse Pleuritis ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.7;Primäre Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.8;Sonstige Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A16.9;Nicht näher bezeichnete Tuberkulose der Atmungsorgane ohne Angabe einer bakteriologischen, molekularbiologischen oder histologischen Sicherung;Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert
A17.-;Tuberkulose des Nervensystems;Tuberkulose des Nervensystems
A17.0;Tuberkulöse Meningitis;Tuberkulose des Nervensystems
A17.1;Meningeales Tuberkulom;Tuberkulose des Nervensystems
A17.8;Sonstige Tuberkulose des Nervensystems;Tuberkulose des Nervensystems
A17.9;Tuberkulose des Nervensystems, nicht näher bezeichnet;Tuberkulose des Nervensystems
A18.-;Tuberkulose sonstiger Organe;Tuberkulose sonstiger Organe
A18.0;Tuberkulose der Knochen und Gelenke;Tuberkulose sonstiger Organe
A18.1;Tuberkulose des Urogenitalsystems;Tuberkulose sonstiger Organe
A18.2;Tuberkulose peripherer Lymphknoten;Tuberkulose sonstiger Organe
A18.3;Tuberkulose des Darmes, des Peritoneums und der Mesenteriallymphknoten;Tuberkulose sonstiger Organe
A18.4;Tuberkulose der Haut und des Unterhautgewebes;Tuberkulose sonstiger Organe
A18.5;Tuberkulose des Auges;Tuberkulose sonstiger Organe
A18.6;Tuberkulose des Ohres;Tuberkulose sonstiger Organe
A18.7;Tuberkulose der Nebennieren;Tuberkulose sonstiger Organe
A18.8;Tuberkulose sonstiger näher bezeichneter Organe;Tuberkulose sonstiger Organe
A19.-;Miliartuberkulose;Miliartuberkulose
A19.0;Akute Miliartuberkulose einer einzelnen näher bezeichneten Lokalisation;Miliartuberkulose
A19.1;Akute Miliartuberkulose mehrerer Lokalisationen;Miliartuberkulose
A19.2;Akute Miliartuberkulose, nicht näher bezeichnet;Miliartuberkulose
A19.8;Sonstige Miliartuberkulose;Miliartuberkulose
A19.9;Miliartuberkulose, nicht näher bezeichnet;Miliartuberkulose
A20.-;Pest;Pest
A20.0;Bubonenpest;Pest
A20.1;Hautpest;Pest
A20.2;Lungenpest;Pest
A20.3;Pestmeningitis;Pest
A20.7;Pestsepsis;Pest
A20.8;Sonstige Formen der Pest;Pest
A20.9;Pest, nicht näher bezeichnet;Pest
A21.-;Tularämie;Tularämie
A21.0;Ulzeroglanduläre Tularämie;Tularämie
A21.1;Okuloglanduläre Tularämie;Tularämie
A21.2;Pulmonale Tularämie;Tularämie
A21.3;Gastrointestinale Tularämie;Tularämie
A21.7;Generalisierte Tularämie;Tularämie
A21.8;Sonstige Formen der Tularämie;Tularämie
A21.9;Tularämie, nicht näher bezeichnet;Tularämie
A22.-;Anthrax [Milzbrand];Anthrax [Milzbrand]
A22.0;Hautmilzbrand;Anthrax [Milzbrand]
A22.1;Lungenmilzbrand;Anthrax [Milzbrand]
A22.2;Darmmilzbrand;Anthrax [Milzbrand]
A22.7;Milzbrandsepsis;Anthrax [Milzbrand]
A22.8;Sonstige Formen des Milzbrandes;Anthrax [Milzbrand]
A22.9;Milzbrand, nicht näher bezeichnet;Anthrax [Milzbrand]
A23.-;Brucellose;Brucellose
A23.0;Brucellose durch Brucella melitensis;Brucellose
A23.1;Brucellose durch Brucella abortus;Brucellose
A23.2;Brucellose durch Brucella suis;Brucellose
A23.3;Brucellose durch Brucella canis;Brucellose
A23.8;Sonstige Brucellose;Brucellose
A23.9;Brucellose, nicht näher bezeichnet;Brucellose
A24.-;Rotz [Malleus] und Melioidose [Pseudorotz];Rotz [Malleus] und Melioidose [Pseudorotz]
A24.0;Rotz;Rotz [Malleus] und Melioidose [Pseudorotz]
A24.1;Akute oder fulminante Melioidose;Rotz [Malleus] und Melioidose [Pseudorotz]
A24.2;Subakute oder chronische Melioidose;Rotz [Malleus] und Melioidose [Pseudorotz]
A24.3;Sonstige Melioidose;Rotz [Malleus] und Melioidose [Pseudorotz]
A24.4;Melioidose, nicht näher bezeichnet;Rotz [Malleus] und Melioidose [Pseudorotz]
A25.-;Rattenbisskrankheiten;Rattenbisskrankheiten
A25.0;Spirillen-Rattenbisskrankheit;Rattenbisskrankheiten
A25.1;Streptobazillen-Rattenbisskrankheit;Rattenbisskrankheiten
A25.9;Rattenbisskrankheit, nicht näher bezeichnet;Rattenbisskrankheiten
A26.-;Erysipeloid;Erysipeloid
A26.0;Haut-Erysipeloid;Erysipeloid
A26.7;Erysipelothrix-Sepsis;Erysipeloid
A26.8;Sonstige Formen des Erysipeloids;Erysipeloid
A26.9;Erysipeloid, nicht näher bezeichnet;Erysipeloid
A27.-;Leptospirose;Leptospirose
A27.0;Leptospirosis icterohaemorrhagica [Weil-Krankheit];Leptospirose
A27.8;Sonstige Formen der Leptospirose;Leptospirose
A27.9;Leptospirose, nicht näher bezeichnet;Leptospirose
A28.-;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.0;Pasteurellose;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.1;Katzenkratzkrankheit;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.2;Extraintestinale Yersiniose;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.8;Sonstige näher bezeichnete bakterielle Zoonosen, anderenorts nicht klassifiziert;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A28.9;Bakterielle Zoonose, nicht näher bezeichnet;Sonstige bakterielle Zoonosen, anderenorts nicht klassifiziert
A30.-;Lepra [Aussatz];Lepra [Aussatz]
A30.0;Indeterminierte Lepra;Lepra [Aussatz]
A30.1;Tuberkuloide Lepra;Lepra [Aussatz]
A30.2;Borderline-tuberkuloide Lepra;Lepra [Aussatz]
A30.3;Borderline-Lepra;Lepra [Aussatz]
A30.4;Borderline-lepromatöse Lepra;Lepra [Aussatz]
A30.5;Lepromatöse Lepra;Lepra [Aussatz]
A30.8;Sonstige Formen der Lepra;Lepra [Aussatz]
A30.9;Lepra, nicht näher bezeichnet;Lepra [Aussatz]
A31.-;Infektion durch sonstige Mykobakterien;Infektion durch sonstige Mykobakterien
A31.0;Infektion der Lunge durch sonstige Mykobakterien;Infektion durch sonstige Mykobakterien
A31.1;Infektion der Haut durch sonstige Mykobakterien;Infektion durch sonstige Mykobakterien
A31.8-;Sonstige Infektionen durch Mykobakterien;Infektion durch sonstige Mykobakterien
A31.80;Disseminierte atypische Mykobakteriose;Infektion durch sonstige Mykobakterien
A31.88;Sonstige Infektionen durch Mykobakterien;Infektion durch sonstige Mykobakterien
A31.9;Infektion durch Mykobakterien, nicht näher bezeichnet;Infektion durch sonstige Mykobakterien
A32.-;Listeriose;Listeriose
A32.0;Kutane Listeriose;Listeriose
A32.1;Meningitis und Meningoenzephalitis durch Listerien;Listeriose
A32.7;Listeriensepsis;Listeriose
A32.8;Sonstige Formen der Listeriose;Listeriose
A32.9;Listeriose, nicht näher bezeichnet;Listeriose
A33;Tetanus neonatorum;Tetanus neonatorum
A34;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes;Tetanus während der Schwangerschaft, der Geburt und des Wochenbettes
A35;Sonstiger Tetanus;Sonstiger Tetanus
A36.-;Diphtherie;Diphtherie
A36.0;Rachendiphtherie;Diphtherie
A36.1;Nasenrachendiphtherie;Diphtherie
A36.2;Kehlkopfdiphtherie;Diphtherie
A36.3;Hautdiphtherie;Diphtherie
A36.8;Sonstige Diphtherie;Diphtherie
A36.9;Diphtherie, nicht näher bezeichnet;Diphtherie
A37.-;Keuchhusten;Keuchhusten
A37.0;Keuchhusten durch Bordetella pertussis;Keuchhusten
A37.1;Keuchhusten durch Bordetella parapertussis;Keuchhusten
A37.8;Keuchhusten durch sonstige Bordetella-Spezies;Keuchhusten
A37.9;Keuchhusten, nicht näher bezeichnet;Keuchhusten
A38;Scharlach;Scharlach
A39.-;Meningokokkeninfektion;Meningokokkeninfektion
A39.0;Meningokokkenmeningitis;Meningokokkeninfektion
A39.1;Waterhouse-Friderichsen-Syndrom;Meningokokkeninfektion
A39.2;Akute Meningokokkensepsis;Meningokokkeninfektion
A39.3;Chronische Meningokokkensepsis;Meningokokkeninfektion
A39.4;Meningokokkensepsis, nicht näher bezeichnet;Meningokokkeninfektion
A39.5;Herzkrankheit durch Meningokokken;Meningokokkeninfektion
A39.8;Sonstige Meningokokkeninfektionen;Meningokokkeninfektion
A39.9;Meningokokkeninfektion, nicht näher bezeichnet;Meningokokkeninfektion
A40.-;Streptokokkensepsis;Streptokokkensepsis
A40.0;Sepsis durch Streptokokken, Gruppe A;Streptokokkensepsis
A40.1;Sepsis durch Streptokokken, Gruppe B;Streptokokkensepsis
A40.2;Sepsis durch Streptokokken, Gruppe D, und Enterokokken;Streptokokkensepsis
A40.3;Sepsis durch Streptococcus pneumoniae;Streptokokkensepsis
A40.8;Sonstige Sepsis durch Streptokokken;Streptokokkensepsis
A40.9;Sepsis durch Streptokokken, nicht näher bezeichnet;Streptokokkensepsis
A41.-;Sonstige Sepsis;Sonstige Sepsis
A41.0;Sepsis durch Staphylococcus aureus;Sonstige Sepsis
A41.1;Sepsis durch sonstige näher bezeichnete Staphylokokken;Sonstige Sepsis
A41.2;Sepsis durch nicht näher bezeichnete Staphylokokken;Sonstige Sepsis
A41.3;Sepsis durch Haemophilus influenzae;Sonstige Sepsis
A41.4;Sepsis durch Anaerobier;Sonstige Sepsis
A41.5-;Sepsis durch sonstige gramnegative Erreger;Sonstige Sepsis
A41.51;Sepsis: Escherichia coli [E. coli];Sonstige Sepsis
A41.52;Sepsis: Pseudomonas;Sonstige Sepsis
A41.58;Sepsis: Sonstige gramnegative Erreger;Sonstige Sepsis
A41.8;Sonstige näher bezeichnete Sepsis;Sonstige Sepsis
A41.9;Sepsis, nicht näher bezeichnet;Sonstige Sepsis
A42.-;Aktinomykose;Aktinomykose
A42.0;Aktinomykose der Lunge;Aktinomykose
A42.1;Abdominale Aktinomykose;Aktinomykose
A42.2;Zervikofaziale Aktinomykose;Aktinomykose
A42.7;Aktinomykotische Sepsis;Aktinomykose
A42.8;Sonstige Formen der Aktinomykose;Aktinomykose
A42.9;Aktinomykose, nicht näher bezeichnet;Aktinomykose
A43.-;Nokardiose;Nokardiose
A43.0;Pulmonale Nokardiose;Nokardiose
A43.1;Nokardiose der Haut;Nokardiose
A43.8;Sonstige Formen der Nokardiose;Nokardiose
A43.9;Nokardiose, nicht näher bezeichnet;Nokardiose
A44.-;Bartonellose;Bartonellose
A44.0;Systemische Bartonellose;Bartonellose
A44.1;Kutane und mukokutane Bartonellose;Bartonellose
A44.8;Sonstige Formen der Bartonellose;Bartonellose
A44.9;Bartonellose, nicht näher bezeichnet;Bartonellose
A46;Erysipel [Wundrose];Erysipel [Wundrose]
A48.-;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.0;Gasbrand [Gasödem];Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.1;Legionellose mit Pneumonie;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.2;Legionellose ohne Pneumonie [Pontiac-Fieber];Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.3;Syndrom des toxischen Schocks;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.4;Brazilian purpuric fever;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A48.8;Sonstige näher bezeichnete bakterielle Krankheiten;Sonstige bakterielle Krankheiten, anderenorts nicht klassifiziert
A49.-;Bakterielle Infektion nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.0-;Staphylokokkeninfektion nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.00;Infektion durch Staphylococcus aureus nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.08;Infektion durch sonstige Staphylokokken nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.09;Infektion durch nicht näher bezeichnete Staphylokokken nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.1-;Streptokokken- und Enterokokkeninfektion nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.10;Infektion durch Streptokokken, Gruppe A, nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.11;Infektion durch Streptokokken, Gruppe B, nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.12;Infektion durch Streptokokken, Gruppe C, nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.13;Infektion durch Streptokokken, Gruppe D, und Enterokokken nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.14;Infektion durch Streptokokken, Gruppe G, nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.15;Infektion durch Streptococcus pneumoniae nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.18;Infektion durch sonstige Streptokokken nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.19;Infektion durch nicht näher bezeichnete Streptokokken nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.2;Infektion durch Haemophilus influenzae nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.3;Mykoplasmeninfektion nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.8-;Sonstige bakterielle Infektionen nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.80;Infektion durch Bacteroides fragilis [B. fragilis] und andere gramnegative Anaerobier nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.81;Infektion durch Vibrio vulnificus nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.82;Infektion durch Escherichia coli [E. coli] und andere Enterobacterales nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.83;Infektion durch Haemophilus und Moraxella nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.84;Infektion durch Clostridium perfringens [C. perfringens] und andere grampositive, sporenbildende Anaerobier nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.85;Infektion durch Pseudomonas und andere Nonfermenter nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.86;Infektion durch sonstige näher bezeichnete grampositive aerobe Erreger nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.87;Infektion durch sonstige näher bezeichnete grampositive anaerobe, nicht sporenbildende Erreger nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.88;Infektion durch sonstige Bakterien nicht näher bezeichneter Lokalisation;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A49.9;Bakterielle Infektion, nicht näher bezeichnet;Bakterielle Infektion nicht näher bezeichneter Lokalisation
A50.-;Syphilis connata;Syphilis connata
A50.0;Floride konnatale Frühsyphilis;Syphilis connata
A50.1;Latente konnatale Frühsyphilis;Syphilis connata
A50.2;Konnatale Frühsyphilis, nicht näher bezeichnet;Syphilis connata
A50.3;Konnatale spätsyphilitische Augenkrankheit;Syphilis connata
A50.4;Konnatale spätauftretende Neurosyphilis [Juvenile Neurosyphilis];Syphilis connata
A50.5;Sonstige Formen der floriden konnatalen Spätsyphilis;Syphilis connata
A50.6;Latente konnatale Spätsyphilis;Syphilis connata
A50.7;Konnatale Spätsyphilis, nicht näher bezeichnet;Syphilis connata
A50.9;Syphilis connata, nicht näher bezeichnet;Syphilis connata
A51.-;Frühsyphilis;Frühsyphilis
A51.0;Primärer syphilitischer Genitalaffekt;Frühsyphilis
A51.1;Analer Primäraffekt bei Syphilis;Frühsyphilis
A51.2;Primäraffekt bei Syphilis, sonstige Lokalisationen;Frühsyphilis
A51.3;Sekundäre Syphilis der Haut und der Schleimhäute;Frühsyphilis
A51.4;Sonstige sekundäre Syphilis;Frühsyphilis
A51.5;Latente Frühsyphilis;Frühsyphilis
A51.9;Frühsyphilis, nicht näher bezeichnet;Frühsyphilis
A52.-;Spätsyphilis;Spätsyphilis
A52.0;Kardiovaskuläre Syphilis;Spätsyphilis
A52.1;Floride Neurosyphilis;Spätsyphilis
A52.2;Asymptomatische Neurosyphilis;Spätsyphilis
A52.3;Neurosyphilis, nicht näher bezeichnet;Spätsyphilis
A52.7;Sonstige floride Spätsyphilis;Spätsyphilis
